epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
215,0.0441,0.0047,0.0369,0.0187,3.9102,0.0645,0.0688,32
216,0.0424,0.0042,0.0356,0.0188,3.8492,0.0540,0.0520,31
217,0.0406,0.0043,0.0343,0.0174,3.3292,0.1046,0.0995,31
218,0.0416,0.0044,0.0351,0.0184,3.4406,0.0918,0.0917,31
219,0.0438,0.0047,0.0367,0.0203,3.8269,0.0705,0.0637,31
220,0.0439,0.0043,0.0369,0.0190,3.9344,0.0473,0.0514,30
221,0.0408,0.0039,0.0348,0.0171,3.2799,0.1231,0.1213,31
222,0.0478,0.0049,0.0400,0.0193,4.3827,0.0896,0.0467,31
223,0.0410,0.0041,0.0348,0.0175,3.4103,0.0829,0.0817,31
224,0.0418,0.0039,0.0352,0.0179,3.8635,0.0554,0.0598,31
225,0.0424,0.0045,0.0350,0.0174,4.2656,0.0373,0.0391,31
226,0.0430,0.0044,0.0360,0.0189,3.8877,0.0660,0.0638,31
227,0.0429,0.0041,0.0364,0.0209,3.5714,0.0859,0.0826,31
228,0.0424,0.0044,0.0356,0.0179,3.7927,0.0735,0.0683,31
229,0.0417,0.0044,0.0350,0.0171,3.6895,0.0626,0.0647,31
230,0.0431,0.0044,0.0363,0.0181,3.8216,0.0610,0.0534,31
231,0.0428,0.0048,0.0356,0.0177,3.9409,0.0699,0.0642,31
232,0.0433,0.0051,0.0353,0.0160,4.4374,0.0504,0.0516,32
233,0.0408,0.0041,0.0345,0.0162,3.3697,0.1087,0.0920,31
234,0.0400,0.0042,0.0338,0.0175,3.2989,0.1313,0.1163,31
235,0.0409,0.0040,0.0348,0.0167,3.2817,0.1248,0.1325,31
236,0.0409,0.0039,0.0347,0.0173,3.5188,0.1064,0.1144,31
237,0.0429,0.0040,0.0363,0.0192,3.7785,0.0681,0.0677,31
238,0.0396,0.0036,0.0338,0.0167,3.2389,0.0900,0.0900,31
239,0.0413,0.0038,0.0353,0.0186,3.3923,0.0876,0.0824,31
240,0.0415,0.0044,0.0347,0.0178,3.6578,0.0686,0.0652,31
241,0.0407,0.0040,0.0344,0.0171,3.4693,0.0966,0.0900,31
242,0.0491,0.0050,0.0405,0.0196,5.1202,0.0228,0.0280,31
243,0.0431,0.0041,0.0360,0.0181,4.2563,0.0490,0.0442,31
244,0.0399,0.0039,0.0338,0.0165,3.4230,0.0831,0.0812,31
245,0.0411,0.0043,0.0345,0.0178,3.5409,0.0982,0.0948,31
246,0.0401,0.0036,0.0343,0.0182,3.3635,0.0936,0.0937,31
247,0.0413,0.0041,0.0349,0.0181,3.4438,0.0881,0.0933,31
248,0.0432,0.0042,0.0363,0.0174,4.0025,0.0687,0.0595,32
249,0.0427,0.0047,0.0355,0.0189,3.9422,0.0559,0.0659,31
250,0.0426,0.0041,0.0358,0.0182,3.9477,0.0663,0.0630,31
251,0.0410,0.0039,0.0345,0.0173,3.7199,0.0759,0.0748,31
252,0.0401,0.0039,0.0338,0.0166,3.6119,0.0760,0.0790,31
253,0.0408,0.0042,0.0341,0.0152,3.8018,0.0693,0.0633,32
254,0.0414,0.0044,0.0340,0.0150,4.3290,0.0519,0.0493,32
255,0.0403,0.0040,0.0335,0.0127,3.9631,0.1029,0.1167,31
